event_ticker,yes_sub_title,open_time,close_time,expiration_value,floor_strike,result
KXBTC15M-26JUN101945,"Target Price: $61,491.11",2026-06-10 19:30:00-04:00,2026-06-10 19:45:00-04:00,61493.71,61491.11,yes
KXBTC15M-26JUN101930,"Target Price: $61,153.04",2026-06-10 19:15:00-04:00,2026-06-10 19:30:00-04:00,61491.11,61153.04,yes
KXBTC15M-26JUN101915,"Target Price: $61,335.84",2026-06-10 19:00:00-04:00,2026-06-10 19:15:00-04:00,61153.04,61335.84,no
KXBTC15M-26JUN101900,"Target Price: $61,478.24",2026-06-10 18:45:00-04:00,2026-06-10 19:00:00-04:00,61335.84,61478.24,no
KXBTC15M-26JUN101845,"Target Price: $61,197.63",2026-06-10 18:30:00-04:00,2026-06-10 18:45:00-04:00,61478.24,61197.63,yes
KXBTC15M-26JUN101830,"Target Price: $61,181.21",2026-06-10 18:15:00-04:00,2026-06-10 18:30:00-04:00,61197.63,61181.21,yes
KXBTC15M-26JUN101815,"Target Price: $61,263.78",2026-06-10 18:00:00-04:00,2026-06-10 18:15:00-04:00,61181.21,61263.78,no
KXBTC15M-26JUN101800,"Target Price: $61,612.74",2026-06-10 17:45:00-04:00,2026-06-10 18:00:00-04:00,61263.78,61612.74,no
KXBTC15M-26JUN101745,"Target Price: $61,523.44",2026-06-10 17:30:00-04:00,2026-06-10 17:45:00-04:00,61612.74,61523.44,yes
KXBTC15M-26JUN101730,"Target Price: $61,480.85",2026-06-10 17:15:00-04:00,2026-06-10 17:30:00-04:00,61523.44,61480.85,yes
KXBTC15M-26JUN101715,"Target Price: $61,745.58",2026-06-10 17:00:00-04:00,2026-06-10 17:15:00-04:00,61480.85,61745.58,no
KXBTC15M-26JUN101700,"Target Price: $61,783.00",2026-06-10 16:45:00-04:00,2026-06-10 17:00:00-04:00,61745.58,61783.0,no
KXBTC15M-26JUN101645,"Target Price: $61,852.67",2026-06-10 16:30:00-04:00,2026-06-10 16:45:00-04:00,61783.00,61852.67,no
KXBTC15M-26JUN101630,"Target Price: $61,750.24",2026-06-10 16:15:00-04:00,2026-06-10 16:30:00-04:00,61852.67,61750.24,yes
KXBTC15M-26JUN101615,"Target Price: $61,921.44",2026-06-10 16:00:00-04:00,2026-06-10 16:15:00-04:00,61750.24,61921.44,no
KXBTC15M-26JUN101600,"Target Price: $61,947.98",2026-06-10 15:45:00-04:00,2026-06-10 16:00:00-04:00,61921.44,61947.98,no
KXBTC15M-26JUN101545,"Target Price: $61,719.55",2026-06-10 15:30:00-04:00,2026-06-10 15:45:00-04:00,61947.98,61719.55,yes
KXBTC15M-26JUN101530,"Target Price: $61,698.15",2026-06-10 15:15:00-04:00,2026-06-10 15:30:00-04:00,61719.55,61698.15,yes
KXBTC15M-26JUN101515,"Target Price: $61,813.83",2026-06-10 15:00:00-04:00,2026-06-10 15:15:00-04:00,61698.15,61813.83,no
KXBTC15M-26JUN101500,"Target Price: $61,705.91",2026-06-10 14:45:00-04:00,2026-06-10 15:00:00-04:00,61813.83,61705.91,yes
KXBTC15M-26JUN101445,"Target Price: $61,873.46",2026-06-10 14:30:00-04:00,2026-06-10 14:45:00-04:00,61705.91,61873.46,no
KXBTC15M-26JUN101430,"Target Price: $61,906.08",2026-06-10 14:15:00-04:00,2026-06-10 14:30:00-04:00,61873.46,61906.08,no
KXBTC15M-26JUN101415,"Target Price: $61,929.58",2026-06-10 14:00:00-04:00,2026-06-10 14:15:00-04:00,61906.08,61929.58,no
KXBTC15M-26JUN101400,"Target Price: $61,727.54",2026-06-10 13:45:00-04:00,2026-06-10 14:00:00-04:00,61929.58,61727.54,yes
KXBTC15M-26JUN101345,"Target Price: $61,891.97",2026-06-10 13:30:00-04:00,2026-06-10 13:45:00-04:00,61727.54,61891.97,no
KXBTC15M-26JUN101330,"Target Price: $62,027.34",2026-06-10 13:15:00-04:00,2026-06-10 13:30:00-04:00,61891.97,62027.34,no
KXBTC15M-26JUN101315,"Target Price: $62,163.36",2026-06-10 13:00:00-04:00,2026-06-10 13:15:00-04:00,62027.34,62163.36,no
KXBTC15M-26JUN101300,"Target Price: $62,193.49",2026-06-10 12:45:00-04:00,2026-06-10 13:00:00-04:00,62163.36,62193.49,no
KXBTC15M-26JUN101245,"Target Price: $62,214.03",2026-06-10 12:30:00-04:00,2026-06-10 12:45:00-04:00,62193.49,62214.03,no
KXBTC15M-26JUN101230,"Target Price: $62,301.17",2026-06-10 12:15:00-04:00,2026-06-10 12:30:00-04:00,62214.03,62301.17,no
KXBTC15M-26JUN101215,"Target Price: $62,587.28",2026-06-10 12:00:00-04:00,2026-06-10 12:15:00-04:00,62301.17,62587.28,no
KXBTC15M-26JUN101200,"Target Price: $62,346.72",2026-06-10 11:45:00-04:00,2026-06-10 12:00:00-04:00,62587.28,62346.72,yes
KXBTC15M-26JUN101145,"Target Price: $62,242.26",2026-06-10 11:30:00-04:00,2026-06-10 11:45:00-04:00,62346.72,62242.26,yes
KXBTC15M-26JUN101130,"Target Price: $61,925.93",2026-06-10 11:15:00-04:00,2026-06-10 11:30:00-04:00,62242.26,61925.93,yes
KXBTC15M-26JUN101115,"Target Price: $62,080.25",2026-06-10 11:00:00-04:00,2026-06-10 11:15:00-04:00,61925.93,62080.25,no
KXBTC15M-26JUN101100,"Target Price: $61,964.26",2026-06-10 10:45:00-04:00,2026-06-10 11:00:00-04:00,62080.25,61964.26,yes
KXBTC15M-26JUN101045,"Target Price: $62,002.68",2026-06-10 10:30:00-04:00,2026-06-10 10:45:00-04:00,61964.26,62002.68,no
KXBTC15M-26JUN101030,"Target Price: $62,021.62",2026-06-10 10:15:00-04:00,2026-06-10 10:30:00-04:00,62002.68,62021.62,no
KXBTC15M-26JUN101015,"Target Price: $62,069.72",2026-06-10 10:00:00-04:00,2026-06-10 10:15:00-04:00,62021.62,62069.72,no
KXBTC15M-26JUN101000,"Target Price: $62,283.43",2026-06-10 09:45:00-04:00,2026-06-10 10:00:00-04:00,62069.72,62283.43,no
KXBTC15M-26JUN100945,"Target Price: $61,496.37",2026-06-10 09:30:00-04:00,2026-06-10 09:45:00-04:00,62283.43,61496.37,yes
KXBTC15M-26JUN100930,"Target Price: $61,476.38",2026-06-10 09:15:00-04:00,2026-06-10 09:30:00-04:00,61496.37,61476.38,yes
KXBTC15M-26JUN100915,"Target Price: $61,555.47",2026-06-10 09:00:00-04:00,2026-06-10 09:15:00-04:00,61476.38,61555.47,no
KXBTC15M-26JUN100900,"Target Price: $61,624.09",2026-06-10 08:45:00-04:00,2026-06-10 09:00:00-04:00,61555.47,61624.09,no
KXBTC15M-26JUN100845,"Target Price: $61,105.61",2026-06-10 08:30:00-04:00,2026-06-10 08:45:00-04:00,61624.09,61105.61,yes
KXBTC15M-26JUN100830,"Target Price: $61,150.60",2026-06-10 08:15:00-04:00,2026-06-10 08:30:00-04:00,61105.61,61150.6,no
KXBTC15M-26JUN100815,Target price: TBD,2026-06-10 08:00:00-04:00,2026-06-10 08:15:00-04:00,61150.60,,yes
