event_ticker,yes_sub_title,open_time,close_time,expiration_value,floor_strike,result
KXHYPE15M-26JUN101945,Target Price: $53.3424,2026-06-10 19:30:00-04:00,2026-06-10 19:45:00-04:00,53.1796,53.3424,no
KXHYPE15M-26JUN101930,Target Price: $52.8857,2026-06-10 19:15:00-04:00,2026-06-10 19:30:00-04:00,53.3424,52.8857,yes
KXHYPE15M-26JUN101915,Target Price: $53.1842,2026-06-10 19:00:00-04:00,2026-06-10 19:15:00-04:00,52.8857,53.1842,no
KXHYPE15M-26JUN101900,Target Price: $53.2842,2026-06-10 18:45:00-04:00,2026-06-10 19:00:00-04:00,53.1842,53.2842,no
KXHYPE15M-26JUN101845,Target Price: $52.8424,2026-06-10 18:30:00-04:00,2026-06-10 18:45:00-04:00,53.2842,52.8424,yes
KXHYPE15M-26JUN101830,Target Price: $52.8357,2026-06-10 18:15:00-04:00,2026-06-10 18:30:00-04:00,52.8424,52.8357,yes
KXHYPE15M-26JUN101815,Target Price: $53.2277,2026-06-10 18:00:00-04:00,2026-06-10 18:15:00-04:00,52.8357,53.2277,no
KXHYPE15M-26JUN101800,Target Price: $53.4943,2026-06-10 17:45:00-04:00,2026-06-10 18:00:00-04:00,53.2277,53.4943,no
KXHYPE15M-26JUN101745,Target Price: $53.7011,2026-06-10 17:30:00-04:00,2026-06-10 17:45:00-04:00,53.4943,53.7011,no
KXHYPE15M-26JUN101730,Target Price: $53.2452,2026-06-10 17:15:00-04:00,2026-06-10 17:30:00-04:00,53.7011,53.2452,yes
KXHYPE15M-26JUN101715,Target Price: $53.6472,2026-06-10 17:00:00-04:00,2026-06-10 17:15:00-04:00,53.2452,53.6472,no
KXHYPE15M-26JUN101700,Target Price: $53.6763,2026-06-10 16:45:00-04:00,2026-06-10 17:00:00-04:00,53.6472,53.6763,no
KXHYPE15M-26JUN101645,Target Price: $53.6473,2026-06-10 16:30:00-04:00,2026-06-10 16:45:00-04:00,53.6763,53.6473,yes
KXHYPE15M-26JUN101630,Target Price: $53.8823,2026-06-10 16:15:00-04:00,2026-06-10 16:30:00-04:00,53.6473,53.8823,no
KXHYPE15M-26JUN101615,Target Price: $53.8724,2026-06-10 16:00:00-04:00,2026-06-10 16:15:00-04:00,53.8823,53.8724,yes
KXHYPE15M-26JUN101600,Target Price: $54.0591,2026-06-10 15:45:00-04:00,2026-06-10 16:00:00-04:00,53.8724,54.0591,no
KXHYPE15M-26JUN101545,Target Price: $54.3815,2026-06-10 15:30:00-04:00,2026-06-10 15:45:00-04:00,54.0591,54.3815,no
KXHYPE15M-26JUN101530,Target Price: $54.0979,2026-06-10 15:15:00-04:00,2026-06-10 15:30:00-04:00,54.3815,54.0979,yes
KXHYPE15M-26JUN101515,Target Price: $54.6776,2026-06-10 15:00:00-04:00,2026-06-10 15:15:00-04:00,54.0979,54.6776,no
KXHYPE15M-26JUN101500,Target Price: $54.1869,2026-06-10 14:45:00-04:00,2026-06-10 15:00:00-04:00,54.6776,54.1869,yes
KXHYPE15M-26JUN101445,Target Price: $54.8924,2026-06-10 14:30:00-04:00,2026-06-10 14:45:00-04:00,54.1869,54.8924,no
KXHYPE15M-26JUN101430,Target Price: $55.2910,2026-06-10 14:15:00-04:00,2026-06-10 14:30:00-04:00,54.8924,55.291,no
KXHYPE15M-26JUN101415,Target Price: $55.5274,2026-06-10 14:00:00-04:00,2026-06-10 14:15:00-04:00,55.2910,55.5274,no
KXHYPE15M-26JUN101400,Target Price: $55.4127,2026-06-10 13:45:00-04:00,2026-06-10 14:00:00-04:00,55.5274,55.4127,yes
KXHYPE15M-26JUN101345,Target Price: $55.2545,2026-06-10 13:30:00-04:00,2026-06-10 13:45:00-04:00,55.4127,55.2545,yes
KXHYPE15M-26JUN101330,Target Price: $55.7711,2026-06-10 13:15:00-04:00,2026-06-10 13:30:00-04:00,55.2545,55.7711,no
KXHYPE15M-26JUN101315,Target Price: $55.6654,2026-06-10 13:00:00-04:00,2026-06-10 13:15:00-04:00,55.7711,55.6654,yes
KXHYPE15M-26JUN101300,Target Price: $55.8870,2026-06-10 12:45:00-04:00,2026-06-10 13:00:00-04:00,55.6654,55.887,no
KXHYPE15M-26JUN101245,Target Price: $56.4963,2026-06-10 12:30:00-04:00,2026-06-10 12:45:00-04:00,55.8870,56.4963,no
KXHYPE15M-26JUN101230,Target Price: $56.6960,2026-06-10 12:15:00-04:00,2026-06-10 12:30:00-04:00,56.4963,56.696,no
KXHYPE15M-26JUN101215,Target Price: $57.4142,2026-06-10 12:00:00-04:00,2026-06-10 12:15:00-04:00,56.6960,57.4142,no
KXHYPE15M-26JUN101200,Target Price: $57.4917,2026-06-10 11:45:00-04:00,2026-06-10 12:00:00-04:00,57.4142,57.4917,no
KXHYPE15M-26JUN101145,Target Price: $57.6837,2026-06-10 11:30:00-04:00,2026-06-10 11:45:00-04:00,57.4917,57.6837,no
KXHYPE15M-26JUN101130,Target Price: $57.6212,2026-06-10 11:15:00-04:00,2026-06-10 11:30:00-04:00,57.6837,57.6212,yes
KXHYPE15M-26JUN101115,Target Price: $57.7280,2026-06-10 11:00:00-04:00,2026-06-10 11:15:00-04:00,57.6212,57.728,no
KXHYPE15M-26JUN101100,Target Price: $57.9235,2026-06-10 10:45:00-04:00,2026-06-10 11:00:00-04:00,57.7280,57.9235,no
KXHYPE15M-26JUN101045,Target Price: $58.0200,2026-06-10 10:30:00-04:00,2026-06-10 10:45:00-04:00,57.9235,58.02,no
KXHYPE15M-26JUN101030,Target Price: $57.8416,2026-06-10 10:15:00-04:00,2026-06-10 10:30:00-04:00,58.0200,57.8416,yes
KXHYPE15M-26JUN101015,Target Price: $57.3774,2026-06-10 10:00:00-04:00,2026-06-10 10:15:00-04:00,57.8416,57.3774,yes
KXHYPE15M-26JUN101000,Target Price: $57.8350,2026-06-10 09:45:00-04:00,2026-06-10 10:00:00-04:00,57.3774,57.835,no
KXHYPE15M-26JUN100945,Target Price: $56.2303,2026-06-10 09:30:00-04:00,2026-06-10 09:45:00-04:00,57.8350,56.2303,yes
KXHYPE15M-26JUN100930,Target Price: $55.9824,2026-06-10 09:15:00-04:00,2026-06-10 09:30:00-04:00,56.2303,55.9824,yes
KXHYPE15M-26JUN100915,Target Price: $56.3065,2026-06-10 09:00:00-04:00,2026-06-10 09:15:00-04:00,55.9824,56.3065,no
KXHYPE15M-26JUN100900,Target Price: $55.9913,2026-06-10 08:45:00-04:00,2026-06-10 09:00:00-04:00,56.3065,55.9913,yes
KXHYPE15M-26JUN100845,Target Price: $55.1122,2026-06-10 08:30:00-04:00,2026-06-10 08:45:00-04:00,55.9913,55.1122,yes
KXHYPE15M-26JUN100830,Target Price: $55.1830,2026-06-10 08:15:00-04:00,2026-06-10 08:30:00-04:00,55.1122,55.183,no
KXHYPE15M-26JUN100815,Target price: TBD,2026-06-10 08:00:00-04:00,2026-06-10 08:15:00-04:00,55.1830,,no
KXHYPE15M-26JUN100800,Target Price: $55.7027,2026-06-10 07:45:00-04:00,2026-06-10 08:00:00-04:00,55.5888,55.7027,no
KXHYPE15M-26JUN100745,Target Price: $55.7804,2026-06-10 07:30:00-04:00,2026-06-10 07:45:00-04:00,55.7027,55.7804,no
KXHYPE15M-26JUN100730,Target Price: $55.9282,2026-06-10 07:15:00-04:00,2026-06-10 07:30:00-04:00,55.7804,55.9282,no
KXHYPE15M-26JUN100715,Target Price: $56.3777,2026-06-10 07:00:00-04:00,2026-06-10 07:15:00-04:00,55.9282,56.3777,no
KXHYPE15M-26JUN100700,Target Price: $55.9557,2026-06-10 06:45:00-04:00,2026-06-10 07:00:00-04:00,56.3777,55.9557,yes
KXHYPE15M-26JUN100645,Target Price: $55.7109,2026-06-10 06:30:00-04:00,2026-06-10 06:45:00-04:00,55.9557,55.7109,yes
